subj,trg,trial,id,block,snr,cond,pa,pd,pa_pfe,pd_pfe,fd_int,fd,sgd_int,sgd_i,sgd
6,15,21,21,1,5,1,1249.595,5103.808,-8.239474,-11.36356,0.2473283,0.24897,1.61505,1.613961,1.608534
6,15,22,22,1,5,1,1299.383,5202.739,43.96822,92.09727,0.2607747,0.2670038,1.608689,1.610863,1.59212
6,25,1,23,2,5,2,1929.35,6336.591,366.4874,641.6998,0.4597937,0.4643397,1.353615,1.349594,1.346076
6,23,2,24,2,3,2,1915.46,6314.794,342.8292,602.1643,0.5140918,0.5266467,1.259296,1.257383,1.253056
6,22,3,25,2,2,2,1805.127,6133.952,245.2633,445.0253,0.4272694,0.4378178,1.260044,1.259887,1.253107
6,21,4,26,2,1,2,1878.819,6254.322,305.936,541.4979,0.9162274,0.8893976,0.7834731,0.7685422,0.7533921
6,25,5,27,2,5,2,1611.267,5793.521,50.6596,102.6556,0.3596519,0.3593912,1.309861,1.307957,1.27481
6,24,6,28,2,4,2,1740.79,6019.168,163.94,299.101,0.9798007,1.037746,0.8016388,0.7852582,0.7257259
6,25,7,29,2,5,2,1492.26,5576.18,-54.96613,-90.11292,0.3003607,0.3059952,1.503505,1.497681,1.514483
6,22,8,30,2,2,2,1655.279,5869.848,93.57127,177.3158,0.6466646,0.6718894,1.011399,0.9979785,0.9558966
6,23,9,31,2,3,2,1482.061,5553.875,-42.18414,-70.8489,0.2701543,0.2739348,1.595498,1.594477,1.58467
6,24,10,32,2,4,2,1602.361,5778.598,70.9558,140.9276,0.5748394,0.5511118,1.168357,1.160608,1.164611
6,21,11,33,2,1,2,1479.589,5553.416,-64.82072,-108.1541,0.4785421,0.4856313,1.294696,1.2899,1.291624
6,23,12,34,2,3,2,1436.447,5471.611,-99.63838,-174.2493,0.3394761,0.343395,1.459002,1.459951,1.445801
6,22,13,35,2,2,2,1413.398,5427.03,-133.0401,-238.187,0.4831786,0.4872408,1.18739,1.188125,1.192196
6,24,14,36,2,4,2,1526.638,5636.788,5.876626,18.77768,0.7046013,0.7235482,0.9672876,0.9637533,0.89407
6,25,15,37,2,5,2,1299.562,5203.416,-184.057,-346.1976,0.2297574,0.2297574,1.516052,1.516052,1.516052
6,21,16,38,2,1,2,1306.784,5217.466,-192.188,-360.1044,0.2416484,0.2417079,1.527073,1.526089,1.544446
6,22,17,39,2,2,2,1510.91,5606.279,57.86187,112.3699,0.3059756,0.3059756,1.381689,1.381689,1.381689
6,24,18,40,2,4,2,1373.397,5349.638,-119.2326,-215.8485,0.3342601,0.3189546,1.501842,1.500488,1.520419
6,23,19,41,2,3,2,1586.603,5751.578,26.27206,61.41769,0.3493119,0.3563314,1.453563,1.453015,1.460041
6,21,20,42,2,1,2,1404.884,5409.612,-144.7828,-261.4245,0.2865294,0.2911868,1.471154,1.462313,1.46537
6,25,21,43,2,5,2,1372.617,5347.606,-169.0127,-308.7949,0.3180808,0.3265484,1.485668,1.481858,1.488534
6,25,22,44,2,5,2,1413.005,5424.685,-107.4821,-193.2573,0.2774293,0.2914696,1.528142,1.505948,1.535335
7,25,1,1,1,5,2,2364.042,7016.301,608.2272,1009.741,0.4002937,0.4224135,1.445726,1.436614,1.457361
7,23,2,2,1,3,2,2347.892,6994.552,579.3149,966.0221,0.4422714,0.4466855,1.362367,1.350972,1.354506
7,24,3,3,1,4,2,2310.983,6938.096,495.1997,823.7264,0.5072367,0.5125044,1.173979,1.169874,1.151246
7,21,4,4,1,1,2,2072.198,6561.61,369.2771,642.3541,0.4393673,0.4608494,1.329484,1.315987,1.30332
7,25,5,5,1,5,2,2039.894,6519.849,282.7546,506.9211,0.4450413,0.4578111,1.341453,1.329733,1.336783
7,22,6,6,1,2,2,1936.347,6346.016,40.03413,81.97957,0.3936287,0.4206057,1.346213,1.345081,1.324892
7,25,7,7,1,5,2,1954.534,6377.436,98.16974,186.5266,0.340257,0.3566645,1.468576,1.456903,1.454017
7,23,8,8,1,3,2,1642.203,5845.835,-122.3157,-180.1926,0.2705964,0.2788169,1.539945,1.538436,1.525072
7,21,9,9,1,1,2,1774.891,6061.955,34.22768,81.02219,0.3016261,0.3015553,1.474288,1.467174,1.487388
7,24,10,10,1,4,2,1557.786,5685.508,-153.2743,-241.7086,0.2455149,0.2319746,1.500152,1.498078,1.529568
7,22,11,11,1,2,2,1399.832,5380.592,-238.314,-418.6832,0.2518266,0.2637874,1.49826,1.474556,1.481782
7,24,12,12,1,4,2,1436.238,5437.853,-285.2801,-509.019,0.2494893,0.2550229,1.621768,1.622737,1.61902
7,23,13,13,1,3,2,1472.235,5495.964,-197.7105,-361.7512,0.3961253,0.421531,1.247476,1.23664,1.175247
7,25,14,14,1,5,2,1491.955,5528.542,-239.4475,-439.7321,0.4574079,0.490568,1.151305,1.142677,1.117118
7,21,15,15,1,1,2,1537.598,5655.551,-199.1694,-316.8328,0.9130784,0.9164564,0.7594031,0.7542556,0.7460556
7,22,16,16,1,2,2,1306.499,5188.875,-324.5355,-589.9606,0.1548996,0.1604262,1.634084,1.602533,1.605452
7,25,17,17,1,5,2,1347.653,5258.351,-286.4013,-528.6437,0.2299102,0.249043,1.565611,1.549481,1.576604
7,24,18,18,1,4,2,1392.745,5366.088,-182.8636,-317.4998,0.2598673,0.2853619,1.48064,1.463999,1.407297
7,22,19,19,1,2,2,1422.08,5415.054,-87.06511,-148.0494,0.2259249,0.2287579,1.452825,1.424689,1.487062
7,21,20,20,1,1,2,1353.582,5295.264,-245.4526,-434.8493,0.6338643,0.6600394,1.054446,1.031277,0.9684071
7,23,21,21,1,3,2,1499.06,5558.98,-76.8003,-126.6496,0.2285734,0.2348934,1.436507,1.429078,1.444059
7,25,22,22,1,5,2,1457.869,5499.69,-193.1925,-315.6837,0.2562383,0.2762543,1.527646,1.514853,1.517971
7,15,1,23,2,5,1,2433.859,7117.083,321.7513,504.5865,0.4197291,0.4445726,1.419366,1.40461,1.364963
7,13,2,24,2,3,1,2490.148,7203.862,348.1623,545.9167,0.4630699,0.4728146,1.300584,1.296377,1.269549
7,14,3,25,2,4,1,2240.43,6831.52,151.4926,257.3802,0.4112667,0.4155231,1.522741,1.513348,1.54564
7,11,4,26,2,1,1,2526.301,7247.843,431.1308,661.7127,0.5906965,0.5985938,1.257288,1.25843,1.252293
7,15,5,27,2,5,1,2313.976,6942.44,316.3708,517.4167,0.3494263,0.3612486,1.577,1.562688,1.640247
